,text,time,confidence,top emotions,conv_metrics
76,sixty four d,"{'begin': 33.889282, 'end': 35.26664}",0.88655597,"[{'name': 'Desire', 'score': 0.3783721625804901}, {'name': 'Interest', 'score': 0.304469496011734}, {'name': 'Pride', 'score': 0.12482112646102905}, {'name': 'Excitement', 'score': 0.1233697161078453}, {'name': 'Surprise (positive)', 'score': 0.12295044958591461}]","4,3,4"
77,your way,"{'begin': 35.723763, 'end': 36.5428}",0.9902344,"[{'name': 'Confusion', 'score': 0.2215012162923813}, {'name': 'Anger', 'score': 0.18098004162311554}, {'name': 'Surprise (positive)', 'score': 0.14061099290847778}, {'name': 'Interest', 'score': 0.11238638311624527}, {'name': 'Awkwardness', 'score': 0.10971692204475403}]","3,2,2"
78,"on local authors,","{'begin': 37.15944, 'end': 38.11656}",0.95979816,"[{'name': 'Interest', 'score': 0.32334619760513306}, {'name': 'Confusion', 'score': 0.12718971073627472}, {'name': 'Contemplation', 'score': 0.11634673923254013}, {'name': 'Surprise (positive)', 'score': 0.10969101637601852}, {'name': 'Anger', 'score': 0.10487291216850281}]","4,3,2"
79,and I can push for a five percent additional discount on the best sellers.,"{'begin': 38.769245, 'end': 43.697983}",0.9832589,"[{'name': 'Determination', 'score': 0.30430492758750916}, {'name': 'Interest', 'score': 0.24272239208221436}, {'name': 'Calmness', 'score': 0.2393595576286316}, {'name': 'Concentration', 'score': 0.23565277457237244}, {'name': 'Excitement', 'score': 0.19185790419578552}]","3,3,4"
80,If you host,"{'begin': 44.572437, 'end': 45.867397}",0.73844403,"[{'name': 'Disgust', 'score': 0.21977217495441437}, {'name': 'Anger', 'score': 0.20824718475341797}, {'name': 'Disappointment', 'score': 0.20648816227912903}, {'name': 'Contempt', 'score': 0.16931432485580444}, {'name': 'Distress', 'score': 0.1363731026649475}]","2,1,2"
81,"monthly events,","{'begin': 46.321346, 'end': 47.116302}",0.86621094,"[{'name': 'Calmness', 'score': 0.23989398777484894}, {'name': 'Concentration', 'score': 0.22573497891426086}, {'name': 'Determination', 'score': 0.1980646848678589}, {'name': 'Interest', 'score': 0.10091060400009155}, {'name': 'Boredom', 'score': 0.09993764758110046}]","4,3,4"
82,and,"{'begin': 48.07025, 'end': 48.125}",0.9838867,"[{'name': 'Determination', 'score': 0.10505535453557968}, {'name': 'Sadness', 'score': 0.10044896602630615}, {'name': 'Calmness', 'score': 0.0923345759510994}, {'name': 'Realization', 'score': 0.08833441138267517}, {'name': 'Interest', 'score': 0.08602814376354218}]","3,2,4"
83,Okay. Make it ten percent and you've got yourself more than just,"{'begin': 49.037407, 'end': 52.687027}",,"[{'name': 'Satisfaction', 'score': 0.3559444844722748}, {'name': 'Pride', 'score': 0.3426033854484558}, {'name': 'Determination', 'score': 0.2917361259460449}, {'name': 'Concentration', 'score': 0.26215243339538574}, {'name': 'Realization', 'score': 0.23389726877212524}]","3,3,3"
84,"events. We can do promotions, signings, the works. Okay.","{'begin': 52.687027, 'end': 60.167694}",,"[{'name': 'Determination', 'score': 0.48101603984832764}, {'name': 'Concentration', 'score': 0.450872540473938}, {'name': 'Calmness', 'score': 0.2927897870540619}, {'name': 'Contemplation', 'score': 0.2566063702106476}, {'name': 'Satisfaction', 'score': 0.12982803583145142}]","4,4,4"
85,Okay. Okay. Ten,"{'begin': 60.485733, 'end': 62.6325}",,"[{'name': 'Awkwardness', 'score': 0.2574787139892578}, {'name': 'Amusement', 'score': 0.23206159472465515}, {'name': 'Joy', 'score': 0.1282855123281479}, {'name': 'Sadness', 'score': 0.10011878609657288}, {'name': 'Distress', 'score': 0.09991616755723953}]","3,2,4"
86,percent it is. You drive off. Hard,"{'begin': 62.6325, 'end': 65.2729}",,"[{'name': 'Awkwardness', 'score': 0.16002361476421356}, {'name': 'Confusion', 'score': 0.15171539783477783}, {'name': 'Amusement', 'score': 0.13624022901058197}, {'name': 'Realization', 'score': 0.09524452686309814}, {'name': 'Boredom', 'score': 0.08068011701107025}]","3,2,2"
87,"bargain and Jessica, I have to tell my team that","{'begin': 65.2729, 'end': 68.621124}",,"[{'name': 'Anger', 'score': 0.1188202053308487}, {'name': 'Distress', 'score': 0.11668968200683594}, {'name': 'Disappointment', 'score': 0.11119215935468674}, {'name': 'Confusion', 'score': 0.10490089654922485}, {'name': 'Awkwardness', 'score': 0.09696834534406662}]","2,1,4"
88,"you are quite the negotiator. Well,","{'begin': 68.621124, 'end': 71.809906}",,"[{'name': 'Realization', 'score': 0.32577359676361084}, {'name': 'Determination', 'score': 0.14052630960941315}, {'name': 'Calmness', 'score': 0.11775567382574081}, {'name': 'Contemplation', 'score': 0.09469866752624512}, {'name': 'Surprise (positive)', 'score': 0.0895719900727272}]","4,3,4"
89,I'll tell mine that... Someone in the big bad world of,"{'begin': 72.20851, 'end': 74.85155}",,"[{'name': 'Concentration', 'score': 0.16173851490020752}, {'name': 'Pride', 'score': 0.14772216975688934}, {'name': 'Amusement', 'score': 0.12518617510795593}, {'name': 'Determination', 'score': 0.12409621477127075}, {'name': 'Realization', 'score': 0.11581915616989136}]","4,4,5"
90,"corporate Publishing, has our back after all? So","{'begin': 74.85155, 'end': 78.910515}",,"[{'name': 'Concentration', 'score': 0.39024680852890015}, {'name': 'Determination', 'score': 0.25274258852005005}, {'name': 'Calmness', 'score': 0.22663407027721405}, {'name': 'Contemplation', 'score': 0.22454535961151123}, {'name': 'Interest', 'score': 0.18874116241931915}]","3,3,4"
91,"do we have a deal them? Yeah, Mark,","{'begin': 78.910515, 'end': 82.03035}",,"[{'name': 'Contempt', 'score': 0.16814067959785461}, {'name': 'Doubt', 'score': 0.1524115949869156}, {'name': 'Determination', 'score': 0.13563598692417145}, {'name': 'Anger', 'score': 0.13266223669052124}, {'name': 'Disappointment', 'score': 0.10503009706735611}]","2,1,3"
92,"we have a deal. And hopefully, we'll","{'begin': 82.26931, 'end': 85.05724}",,"[{'name': 'Concentration', 'score': 0.3863602578639984}, {'name': 'Determination', 'score': 0.37728652358055115}, {'name': 'Calmness', 'score': 0.3570566177368164}, {'name': 'Interest', 'score': 0.3033598065376282}, {'name': 'Contemplation', 'score': 0.11338648945093155}]","3,3,4"
93,have a start to a better partnership too.,"{'begin': 85.05724, 'end': 86.73}",,"[{'name': 'Determination', 'score': 0.3209399878978729}, {'name': 'Calmness', 'score': 0.31581300497055054}, {'name': 'Concentration', 'score': 0.26761481165885925}, {'name': 'Interest', 'score': 0.2496258020401001}, {'name': 'Boredom', 'score': 0.10280019789934158}]","4,3,4"
94,True...,"{'begin': 0.1992347, 'end': 0.59770405}",0.92626953,"[{'name': 'Calmness', 'score': 0.12687669694423676}, {'name': 'Boredom', 'score': 0.08059794455766678}, {'name': 'Interest', 'score': 0.05698511749505997}, {'name': 'Disappointment', 'score': 0.05689295753836632}, {'name': 'Distress', 'score': 0.05441947281360626}]","3,2,4"
95,So what if we go,"{'begin': 1.2352551, 'end': 2.6118877}",0.91748047,"[{'name': 'Boredom', 'score': 0.26399490237236023}, {'name': 'Calmness', 'score': 0.18257375061511993}, {'name': 'Interest', 'score': 0.17997367680072784}, {'name': 'Confusion', 'score': 0.11237888038158417}, {'name': 'Concentration', 'score': 0.09262334555387497}]","3,3,2"
96,sixty four d,"{'begin': 3.227602, 'end': 4.524541}",0.89697266,"[{'name': 'Interest', 'score': 0.24999883770942688}, {'name': 'Satisfaction', 'score': 0.19438199698925018}, {'name': 'Pride', 'score': 0.18829770386219025}, {'name': 'Surprise (positive)', 'score': 0.1308126002550125}, {'name': 'Excitement', 'score': 0.12472574412822723}]","4,4,4"
97,your way,"{'begin': 4.9808674, 'end': 5.7996426}",0.99316406,"[{'name': 'Confusion', 'score': 0.2966219484806061}, {'name': 'Surprise (negative)', 'score': 0.2487688660621643}, {'name': 'Doubt', 'score': 0.1483456939458847}, {'name': 'Anger', 'score': 0.1375989019870758}, {'name': 'Distress', 'score': 0.12545245885849}]","2,1,4"
98,on local authors,"{'begin': 6.415357, 'end': 7.552908}",0.9659831,"[{'name': 'Interest', 'score': 0.5914334058761597}, {'name': 'Concentration', 'score': 0.2597467303276062}, {'name': 'Calmness', 'score': 0.25507593154907227}, {'name': 'Contemplation', 'score': 0.14930759370326996}, {'name': 'Confusion', 'score': 0.10224474221467972}]","4,4,4"
99,and I can push for a five,"{'begin': 7.944375, 'end': 10.491041}",,"[{'name': 'Determination', 'score': 0.6377685070037842}, {'name': 'Concentration', 'score': 0.2880219519138336}, {'name': 'Excitement', 'score': 0.27838557958602905}, {'name': 'Pride', 'score': 0.1834627091884613}, {'name': 'Interest', 'score': 0.15477579832077026}]","3,3,4"
100,percent additional discount on the best sellers. If,"{'begin': 10.491041, 'end': 14.333542}",,"[{'name': 'Interest', 'score': 0.3247804045677185}, {'name': 'Concentration', 'score': 0.18787604570388794}, {'name': 'Calmness', 'score': 0.15019972622394562}, {'name': 'Determination', 'score': 0.1414387822151184}, {'name': 'Amusement', 'score': 0.1236354261636734}]","3,3,4"
101,you host monthly,"{'begin': 14.390625, 'end': 16.141457}",,"[{'name': 'Calmness', 'score': 0.21711212396621704}, {'name': 'Determination', 'score': 0.1805744618177414}, {'name': 'Concentration', 'score': 0.16568909585475922}, {'name': 'Disgust', 'score': 0.11290144175291061}, {'name': 'Realization', 'score': 0.10520884394645691}]","3,2,4"
102,events. Okay. Make it ten,"{'begin': 16.141457, 'end': 19.738543}",,"[{'name': 'Interest', 'score': 0.31555554270744324}, {'name': 'Concentration', 'score': 0.29224303364753723}, {'name': 'Determination', 'score': 0.16345979273319244}, {'name': 'Calmness', 'score': 0.11931755393743515}, {'name': 'Doubt', 'score': 0.11705778539180756}]","4,3,4"
103,percent and you've got yourself more than just events. We can do,"{'begin': 19.738543, 'end': 23.241455}",,"[{'name': 'Determination', 'score': 0.779864490032196}, {'name': 'Concentration', 'score': 0.6718083620071411}, {'name': 'Calmness', 'score': 0.545330286026001}, {'name': 'Satisfaction', 'score': 0.3082672953605652}, {'name': 'Pride', 'score': 0.30336883664131165}]","4,4,4"
104,"promotions, signings, the works. Okay.","{'begin': 23.241455, 'end': 29.37861}",,"[{'name': 'Concentration', 'score': 0.37356606125831604}, {'name': 'Calmness', 'score': 0.28741255402565}, {'name': 'Boredom', 'score': 0.26455968618392944}, {'name': 'Determination', 'score': 0.1304560899734497}, {'name': 'Contemplation', 'score': 0.12123370915651321}]","3,2,4"
105,Okay. Okay. Ten,"{'begin': 29.696388, 'end': 31.841389}",,"[{'name': 'Awkwardness', 'score': 0.3170713484287262}, {'name': 'Amusement', 'score': 0.2948800325393677}, {'name': 'Joy', 'score': 0.23015449941158295}, {'name': 'Excitement', 'score': 0.15050429105758667}, {'name': 'Interest', 'score': 0.08186767995357513}]","4,3,4"
106,percent it is. You drive a hard,"{'begin': 31.841389, 'end': 34.56768}",,"[{'name': 'Awkwardness', 'score': 0.22123658657073975}, {'name': 'Surprise (negative)', 'score': 0.21192388236522675}, {'name': 'Confusion', 'score': 0.21049824357032776}, {'name': 'Realization', 'score': 0.20723271369934082}, {'name': 'Disgust', 'score': 0.14372436702251434}]","2,1,4"
107,bargain in Jessica. I have to tell my team that,"{'begin': 34.56768, 'end': 37.92335}",,"[{'name': 'Interest', 'score': 0.22127050161361694}, {'name': 'Determination', 'score': 0.1545036882162094}, {'name': 'Concentration', 'score': 0.1520027369260788}, {'name': 'Calmness', 'score': 0.13310661911964417}, {'name': 'Sympathy', 'score': 0.12262637168169022}]","4,4,4"
108,"you are quite the negotiator. Well,","{'begin': 37.92335, 'end': 41.13438}",,"[{'name': 'Realization', 'score': 0.4364302158355713}, {'name': 'Surprise (positive)', 'score': 0.1481882780790329}, {'name': 'Determination', 'score': 0.1393297016620636}, {'name': 'Relief', 'score': 0.12040694802999496}, {'name': 'Satisfaction', 'score': 0.11657297611236572}]","4,3,4"
109,I'll tell mind that someone in the big bad world of,"{'begin': 41.533966, 'end': 44.091324}",,"[{'name': 'Determination', 'score': 0.30832019448280334}, {'name': 'Concentration', 'score': 0.30354002118110657}, {'name': 'Realization', 'score': 0.1869095265865326}, {'name': 'Contempt', 'score': 0.1860489845275879}, {'name': 'Contemplation', 'score': 0.18462041020393372}]","3,2,4"
110,corporate publishing has our back after all? So,"{'begin': 44.091324, 'end': 48.187603}",,"[{'name': 'Calmness', 'score': 0.2575739622116089}, {'name': 'Concentration', 'score': 0.25754135847091675}, {'name': 'Boredom', 'score': 0.2539897859096527}, {'name': 'Contemplation', 'score': 0.18067002296447754}, {'name': 'Interest', 'score': 0.17781147360801697}]","3,3,4"
111,"do we have a deal then? Yeah, Mark,","{'begin': 48.247025, 'end': 51.295345}",,"[{'name': 'Doubt', 'score': 0.23750363290309906}, {'name': 'Confusion', 'score': 0.1612526774406433}, {'name': 'Awkwardness', 'score': 0.1431783139705658}, {'name': 'Determination', 'score': 0.13731183111667633}, {'name': 'Contempt', 'score': 0.13392770290374756}]","2,1,4"
112,"we have a deal. And hopefully, we'll","{'begin': 51.534313, 'end': 54.322243}",,"[{'name': 'Calmness', 'score': 0.6304383277893066}, {'name': 'Determination', 'score': 0.5597816109657288}, {'name': 'Concentration', 'score': 0.3843253254890442}, {'name': 'Interest', 'score': 0.34257563948631287}, {'name': 'Contentment', 'score': 0.22881875932216644}]","4,3,4"
113,have a start to a better partnership too.,"{'begin': 54.322243, 'end': 55.995003}",,"[{'name': 'Calmness', 'score': 0.42621102929115295}, {'name': 'Interest', 'score': 0.373053640127182}, {'name': 'Determination', 'score': 0.3538208603858948}, {'name': 'Concentration', 'score': 0.23462004959583282}, {'name': 'Contemplation', 'score': 0.18344585597515106}]","4,4,4"
114,Okay. Okay. Okay.,"{'begin': 0.1991573, 'end': 1.0754495}",0.9892578,"[{'name': 'Amusement', 'score': 0.3742900788784027}, {'name': 'Distress', 'score': 0.23713092505931854}, {'name': 'Awkwardness', 'score': 0.21957817673683167}, {'name': 'Joy', 'score': 0.17368517816066742}, {'name': 'Excitement', 'score': 0.17090247571468353}]","3,2,4"
115,Ten percent it is.,"{'begin': 2.3500562, 'end': 3.3060112}",0.9425049,"[{'name': 'Determination', 'score': 0.1559806615114212}, {'name': 'Surprise (negative)', 'score': 0.1395573765039444}, {'name': 'Realization', 'score': 0.09982907772064209}, {'name': 'Anger', 'score': 0.09547101706266403}, {'name': 'Excitement', 'score': 0.07455167919397354}]","3,2,4"
116,You drive a hard bargain in Jessica.,"{'begin': 4.0229774, 'end': 6.6518536}",0.902274,"[{'name': 'Amusement', 'score': 0.23180778324604034}, {'name': 'Interest', 'score': 0.19183997809886932}, {'name': 'Contemplation', 'score': 0.15975263714790344}, {'name': 'Calmness', 'score': 0.14563971757888794}, {'name': 'Concentration', 'score': 0.1188996434211731}]","4,4,4"
117,I have to tell my team that you are quite the negotiator.,"{'begin': 7.3044, 'end': 10.494801}",0.9592285,"[{'name': 'Realization', 'score': 0.3786175549030304}, {'name': 'Determination', 'score': 0.3480573892593384}, {'name': 'Disappointment', 'score': 0.1488419473171234}, {'name': 'Anger', 'score': 0.12521538138389587}, {'name': 'Doubt', 'score': 0.09680961817502975}]","3,2,2"
118,"Well, I'll tell mind that someone in the big","{'begin': 11.6912, 'end': 14.32328}",,"[{'name': 'Contemplation', 'score': 0.3757168650627136}, {'name': 'Contempt', 'score': 0.16690486669540405}, {'name': 'Disappointment', 'score': 0.1614471673965454}, {'name': 'Realization', 'score': 0.1564912050962448}, {'name': 'Concentration', 'score': 0.14263716340065002}]","3,2,4"
119,bad world of corporate publishing has our back after all. So,"{'begin': 14.32328, 'end': 18.984474}",,"[{'name': 'Concentration', 'score': 0.3908773958683014}, {'name': 'Contemplation', 'score': 0.3100431263446808}, {'name': 'Realization', 'score': 0.1549832820892334}, {'name': 'Interest', 'score': 0.13748018443584442}, {'name': 'Calmness', 'score': 0.12719175219535828}]","3,3,4"
120,do we have a deal then? Yeah. Mark.,"{'begin': 19.042263, 'end': 22.070263}",,"[{'name': 'Doubt', 'score': 0.3080109655857086}, {'name': 'Confusion', 'score': 0.24732741713523865}, {'name': 'Awkwardness', 'score': 0.2006511241197586}, {'name': 'Determination', 'score': 0.16007141768932343}, {'name': 'Calmness', 'score': 0.1213570088148117}]","3,2,2"
121,We have a deal. And hopefully? We'll,"{'begin': 22.389, 'end': 25.192621}",,"[{'name': 'Determination', 'score': 0.7215364575386047}, {'name': 'Calmness', 'score': 0.605410099029541}, {'name': 'Concentration', 'score': 0.5704485774040222}, {'name': 'Contemplation', 'score': 0.35903942584991455}, {'name': 'Interest', 'score': 0.2820195257663727}]","4,4,5"
122,have a start to a better partnership too.,"{'begin': 25.192621, 'end': 26.785305}",,"[{'name': 'Determination', 'score': 0.3747442066669464}, {'name': 'Calmness', 'score': 0.31994932889938354}, {'name': 'Interest', 'score': 0.2828141748905182}, {'name': 'Concentration', 'score': 0.1934913694858551}, {'name': 'Sympathy', 'score': 0.14885693788528442}]","4,4,5"
123,So do we have a deal then?,"{'begin': 0.19913045, 'end': 1.8718262}",0.9479632,"[{'name': 'Doubt', 'score': 0.42378169298171997}, {'name': 'Awkwardness', 'score': 0.37581250071525574}, {'name': 'Confusion', 'score': 0.35019227862358093}, {'name': 'Interest', 'score': 0.3476064205169678}, {'name': 'Contemplation', 'score': 0.2706739902496338}]","3,2,2"
124,"Yeah. Mark, We have a deal. And hopefully,","{'begin': 3.225913, 'end': 6.013739}",0.98999023,"[{'name': 'Determination', 'score': 0.3984488248825073}, {'name': 'Calmness', 'score': 0.37950220704078674}, {'name': 'Concentration', 'score': 0.3520542085170746}, {'name': 'Interest', 'score': 0.3203514516353607}, {'name': 'Contemplation', 'score': 0.20702393352985382}]","4,3,4"
125,we'll have a start to a better partnership too.,"{'begin': 6.5713043, 'end': 8.403304}",0.96972656,"[{'name': 'Determination', 'score': 0.45092037320137024}, {'name': 'Calmness', 'score': 0.3053465485572815}, {'name': 'Interest', 'score': 0.28515806794166565}, {'name': 'Sympathy', 'score': 0.19877022504806519}, {'name': 'Concentration', 'score': 0.19448260962963104}]","4,3,4"
126,Listen mark. Doubling the price of your best sellers just,"{'begin': 0.11986238, 'end': 3.3961008}",,"[{'name': 'Determination', 'score': 0.15102483332157135}, {'name': 'Interest', 'score': 0.11195195466279984}, {'name': 'Pride', 'score': 0.10122742503881454}, {'name': 'Anger', 'score': 0.08112180978059769}, {'name': 'Calmness', 'score': 0.07141175121068954}]","3,2,4"
127,prices us small bookstores out of the competition. How,"{'begin': 3.3961008, 'end': 7.1517887}",,"[{'name': 'Interest', 'score': 0.24962614476680756}, {'name': 'Determination', 'score': 0.2011096477508545}, {'name': 'Pride', 'score': 0.1781233847141266}, {'name': 'Concentration', 'score': 0.1367214024066925}, {'name': 'Realization', 'score': 0.10469977557659149}]","3,3,4"
128,is that fair? We're,"{'begin': 7.1517887, 'end': 9.875937}",,"[{'name': 'Confusion', 'score': 0.33968061208724976}, {'name': 'Doubt', 'score': 0.14593316614627838}, {'name': 'Surprise (negative)', 'score': 0.13704665005207062}, {'name': 'Calmness', 'score': 0.13628222048282623}, {'name': 'Realization', 'score': 0.11510209739208221}]","3,2,2"
129,"always not about fairness, Jessica, this","{'begin': 9.875937, 'end': 12.574688}",,"[{'name': 'Amusement', 'score': 0.17661425471305847}, {'name': 'Confusion', 'score': 0.16819794476032257}, {'name': 'Surprise (positive)', 'score': 0.13523152470588684}, {'name': 'Interest', 'score': 0.11416413635015488}, {'name': 'Awkwardness', 'score': 0.10032480955123901}]","3,2,4"
130,"business, the costs are going up","{'begin': 12.574688, 'end': 15.352813}",,"[{'name': 'Concentration', 'score': 0.2003772258758545}, {'name': 'Interest', 'score': 0.19404517114162445}, {'name': 'Determination', 'score': 0.14749214053153992}, {'name': 'Anger', 'score': 0.12455453723669052}, {'name': 'Calmness', 'score': 0.12428192794322968}]","3,3,4"
131,"and we have to adjust. Adjust,","{'begin': 15.352813, 'end': 18.467138}",,"[{'name': 'Determination', 'score': 0.39960822463035583}, {'name': 'Realization', 'score': 0.28801199793815613}, {'name': 'Contemplation', 'score': 0.15259665250778198}, {'name': 'Concentration', 'score': 0.12757287919521332}, {'name': 'Doubt', 'score': 0.12227103114128113}]","3,2,4"
132,this isn't adjusting. It's arm twisting.,"{'begin': 19.184683, 'end': 21.735954}",0.9600423,"[{'name': 'Distress', 'score': 0.14936305582523346}, {'name': 'Realization', 'score': 0.14786624908447266}, {'name': 'Disgust', 'score': 0.14112336933612823}, {'name': 'Contemplation', 'score': 0.13016024231910706}, {'name': 'Anxiety', 'score': 0.12590518593788147}]","3,2,2"
133,You're basically telling us to pay up or shut down.,"{'begin': 22.21432, 'end': 25.084501}",0.9820801,"[{'name': 'Determination', 'score': 0.37843552231788635}, {'name': 'Anger', 'score': 0.21990220248699188}, {'name': 'Concentration', 'score': 0.20400619506835938}, {'name': 'Disappointment', 'score': 0.15607717633247375}, {'name': 'Contempt', 'score': 0.15182143449783325}]","2,1,3"
134,Will,"{'begin': 27.012705, 'end': 27.512705}",0.8847656,"[{'name': 'Boredom', 'score': 0.173927903175354}, {'name': 'Confusion', 'score': 0.10922949016094208}, {'name': 'Calmness', 'score': 0.1060023382306099}, {'name': 'Awkwardness', 'score': 0.10477238148450851}, {'name': 'Amusement', 'score': 0.06266911327838898}]","3,2,2"
135,I understand it is tough. But let's find a way to work together.,"{'begin': 27.889338, 'end': 32.113113}",0.98516375,"[{'name': 'Determination', 'score': 0.3734474182128906}, {'name': 'Contemplation', 'score': 0.30059191584587097}, {'name': 'Contentment', 'score': 0.19601751863956451}, {'name': 'Concentration', 'score': 0.16386012732982635}, {'name': 'Satisfaction', 'score': 0.1577925831079483}]","4,3,4"
136,What if we offer a tier discount system based on volume?,"{'begin': 32.830357, 'end': 36.585842}",0.8861417,"[{'name': 'Confusion', 'score': 0.44195738434791565}, {'name': 'Surprise (negative)', 'score': 0.2609206736087799}, {'name': 'Distress', 'score': 0.10018221288919449}, {'name': 'Disappointment', 'score': 0.09436140954494476}, {'name': 'Doubt', 'score': 0.09165952354669571}]","2,1,4"
137,"Volume,","{'begin': 38.414803, 'end': 38.914803}",0.99853516,"[{'name': 'Confusion', 'score': 0.10637776553630829}, {'name': 'Anger', 'score': 0.08084561675786972}, {'name': 'Boredom', 'score': 0.07924376428127289}, {'name': 'Calmness', 'score': 0.07849244028329849}, {'name': 'Disappointment', 'score': 0.07846999913454056}]","3,2,2"
138,you know we can't order as much as the big chains. That offer does nothing for us.,"{'begin': 39.687122, 'end': 43.822163}",0.99686927,"[{'name': 'Disappointment', 'score': 0.36856192350387573}, {'name': 'Contempt', 'score': 0.23019227385520935}, {'name': 'Anger', 'score': 0.17198696732521057}, {'name': 'Disgust', 'score': 0.1377522349357605}, {'name': 'Distress', 'score': 0.13680966198444366}]","2,1,2"
139,Okay. Okay.,"{'begin': 45.665672, 'end': 46.381134}",0.9941406,"[{'name': 'Boredom', 'score': 0.12210492044687271}, {'name': 'Calmness', 'score': 0.1206526905298233}, {'name': 'Relief', 'score': 0.103090800344944}, {'name': 'Tiredness', 'score': 0.10029079020023346}, {'name': 'Sympathy', 'score': 0.07889804244041443}]","3,3,4"
140,Let's think about this.,"{'begin': 47.335083, 'end': 48.448025}",0.998291,"[{'name': 'Determination', 'score': 0.14618365466594696}, {'name': 'Concentration', 'score': 0.1307547390460968}, {'name': 'Interest', 'score': 0.12528154253959656}, {'name': 'Confusion', 'score': 0.11881054192781448}, {'name': 'Doubt', 'score': 0.11777018010616302}]","3,2,4"
141,"So how about we set up an exclusive local author section in your store,","{'begin': 49.163486, 'end': 54.02825}",0.89170617,"[{'name': 'Interest', 'score': 0.4297626316547394}, {'name': 'Concentration', 'score': 0.345356285572052}, {'name': 'Confusion', 'score': 0.22011132538318634}, {'name': 'Determination', 'score': 0.19859783351421356}, {'name': 'Doubt', 'score': 0.10798932611942291}]","3,2,4"
142,we supply the books and you provide the,"{'begin': 55.0632, 'end': 57.84961}",,"[{'name': 'Determination', 'score': 0.34860214591026306}, {'name': 'Concentration', 'score': 0.3422650992870331}, {'name': 'Interest', 'score': 0.28730508685112}, {'name': 'Pride', 'score': 0.2846384048461914}, {'name': 'Calmness', 'score': 0.24622514843940735}]","3,3,4"
143,space and we we split the revenue tour,"{'begin': 57.84961, 'end': 61.885}",,"[{'name': 'Calmness', 'score': 0.14928746223449707}, {'name': 'Contemplation', 'score': 0.11621444672346115}, {'name': 'Excitement', 'score': 0.09769001603126526}, {'name': 'Interest', 'score': 0.08333681523799896}, {'name': 'Boredom', 'score': 0.07778242975473404}]","4,3,4"
144,That's...,"{'begin': 64.477776, 'end': 64.79689}",0.98779297,"[{'name': 'Confusion', 'score': 0.10505183041095734}, {'name': 'Boredom', 'score': 0.07838906347751617}, {'name': 'Calmness', 'score': 0.07485320419073105}, {'name': 'Awkwardness', 'score': 0.07200668007135391}, {'name': 'Disappointment', 'score': 0.07121078670024872}]","3,2,2"
145,"Well, that's actually not a bad idea. But the split","{'begin': 66.07333, 'end': 70.07432}",,"[{'name': 'Realization', 'score': 0.28198859095573425}, {'name': 'Confusion', 'score': 0.27175062894821167}, {'name': 'Doubt', 'score': 0.21464334428310394}, {'name': 'Contemplation', 'score': 0.19975484907627106}, {'name': 'Surprise (negative)', 'score': 0.1773657649755478}]","3,2,2"
146,needs to be favorable to us. We can't lose out in our own store. True...,"{'begin': 70.07432, 'end': 76.775}",,"[{'name': 'Determination', 'score': 0.22219455242156982}, {'name': 'Calmness', 'score': 0.20143282413482666}, {'name': 'Concentration', 'score': 0.19978702068328857}, {'name': 'Contemplation', 'score': 0.15763874351978302}, {'name': 'Disappointment', 'score': 0.1573900580406189}]","3,3,4"
147,So what if we go,"{'begin': 77.415, 'end': 78.795}",0.88115233,"[{'name': 'Boredom', 'score': 0.17400261759757996}, {'name': 'Calmness', 'score': 0.1268153190612793}, {'name': 'Interest', 'score': 0.1051253080368042}, {'name': 'Determination', 'score': 0.09037306904792786}, {'name': 'Concentration', 'score': 0.08137548714876175}]","3,3,4"
148,sixty four d,"{'begin': 79.415, 'end': 80.715004}",0.8959961,"[{'name': 'Desire', 'score': 0.35845065116882324}, {'name': 'Interest', 'score': 0.2603739798069}, {'name': 'Surprise (positive)', 'score': 0.12270136177539825}, {'name': 'Concentration', 'score': 0.1163763627409935}, {'name': 'Pride', 'score': 0.11421657353639603}]","3,3,3"
149,your way,"{'begin': 81.175, 'end': 81.995}",0.99121094,"[{'name': 'Confusion', 'score': 0.2805582880973816}, {'name': 'Surprise (positive)', 'score': 0.22963105142116547}, {'name': 'Surprise (negative)', 'score': 0.16866689920425415}, {'name': 'Anger', 'score': 0.14773821830749512}, {'name': 'Doubt', 'score': 0.13600841164588928}]","3,2,2"
150,"on local authors,","{'begin': 82.615, 'end': 83.655}",0.98909503,"[{'name': 'Interest', 'score': 0.3573627173900604}, {'name': 'Surprise (positive)', 'score': 0.12296954542398453}, {'name': 'Excitement', 'score': 0.09797004610300064}, {'name': 'Admiration', 'score': 0.0898502990603447}, {'name': 'Contemplation', 'score': 0.08671402186155319}]","4,4,5"
151,and I can push for,"{'begin': 84.135, 'end': 85.755005}",0.9958008,"[{'name': 'Determination', 'score': 0.24136480689048767}, {'name': 'Calmness', 'score': 0.23297592997550964}, {'name': 'Concentration', 'score': 0.13193979859352112}, {'name': 'Interest', 'score': 0.1035609021782875}, {'name': 'Boredom', 'score': 0.08328541368246078}]","4,3,4"
152,a five percent additional discount on the best sellers.,"{'begin': 86.0682, 'end': 89.16006}",0.98725045,"[{'name': 'Interest', 'score': 0.16884277760982513}, {'name': 'Determination', 'score': 0.15712955594062805}, {'name': 'Calmness', 'score': 0.10739497095346451}, {'name': 'Anger', 'score': 0.10126174986362457}, {'name': 'Concentration', 'score': 0.09753431379795074}]","3,3,4"
